image,session_id,point_index,target_norm_x,target_norm_y,target_px_x,target_px_y,screen_w,screen_h
session_1783423697_p000_s000.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s001.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s002.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s003.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s004.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s005.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s006.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s007.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s008.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s009.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s010.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s011.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s012.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s013.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s014.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s015.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s016.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s017.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s018.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s019.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s020.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s021.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s022.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s023.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s024.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s025.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s026.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s027.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s028.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p000_s029.jpg,session_1783423697,0,0.08000,0.08000,153,86,1920,1080
session_1783423697_p001_s000.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s001.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s002.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s003.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s004.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s005.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s006.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s007.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
session_1783423697_p001_s008.jpg,session_1783423697,1,0.29000,0.08000,556,86,1920,1080
